						Nominal Location (meters in LCLS coordinates)			Nominal Dimensions (meters)			Nominal Rotation (radians)					aperture-like	mirrors			KBs		mirror motions						special cases
Location	Type (raytrace setting)	FC	Fungible	State	Comments	NL_Z	NL_X	NL_Y	ND_Z	ND_X	ND_Y	R_z	R_x	R_y	Must Ray Trace	Tolerance	Aperture OD	ud	Specified theta	UDLR	p	q	max_z	min_z	max_x/y	min_x/y	max_pitch/yaw	min_pitch/yaw	Other
UND	SOURCE	HXCEL50		conceptual	HXR undulator	668.7165000	-1.2500000	0.0000000	0.0010000	0.0074000		0.0000000	0.0000000	0.0000000	TRUE	0.0000000													
FEE	APERTURE	PC1L0	XTES	conceptual	Collimator	734.9384000	-1.2500000	0.0000000	0.0007500	0.0080000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.045466												
FEE	APERTURE	BT1L0		conceptual	BTM	735.0641000	-1.2500000	0.0000000	0.0063500	0.0161040		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.17145												
FEE	MIRROR	MR1L0	HOMS	conceptual	Mirror	740.0000000	-1.2500000	0.0000000	0.0500000	1.0000000		0.0000000	0.0000000	0.0021000	TRUE	0.0000000		u	0.0021000	L					0.0007500	-0.0007500	0.0032500	-0.0032500	
FEE	VIRTUAL	MR1L1	TXI	conceptual	Mirror	741.6000000	-1.2276000	0.0000000	0.0500000	1.0000000		0.0000000	0.0000000	0.0210000	TRUE	0.0000000													2 hole BTM
FEE	BLANK	BT2L0	PLEG	conceptual	BTM	743.0522000	-1.1549200	0.0000000	0.0076200	0.0475000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000													
FEE	VIRTUAL	PC1L1		conceptual	Collimator	745.6217000	-1.1149600	0.0000000	0.0101600	0.0080000		0.0000000	0.0000000	0.0280000	TRUE	0.0010000													
FEE	APERTURE	PC2L0		conceptual	Collimator	746.2721000	-1.2236600	0.0000000	0.0010000	0.0027500		0.0000000	0.0000000	0.0042000	TRUE	0.0010000	0.04574												
FEE	APERTURE	BT3L0		conceptual	BTM	746.3305000	-1.2236600	0.0000000	0.0067000	0.0133400		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.1066800												
FEE	MIRROR	MR2L0	HOMS	conceptual	Mirror	747.2860000	-1.2194000	0.0000000	0.0500000	1.0000000		0.0000000	0.0000000	-0.0021000	TRUE	0.0000000		d	0.0021000	R					0.0010000	-0.0010000	0.0042500	-0.0042500	
FEE	FREE_TRANSMISSIVE	PF2L0		conceptual	Beam Splitting Grating	751.6900000	-1.2194000	0.0000000	0.0010000	0.0040000		0.0000000	0.0000000	0.0000000	TRUE	0.0000000													"Grating pitch 1.1um and 0.66um, 6 keV to 25 keV, truncate at 7th order"
FEE	APERTURE	PC3L0	RTD	conceptual	Collimator	752.0240000	-1.2194000	0.0000000	0.0060000	0.0027500		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.0469900												
FEE	APERTURE	BT4L0		conceptual	BTM	752.0780000	-1.2194000	0.0000000	0.0060000	0.0054200		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.1066700												
FEE	VIRTUAL	BS3L0		conceptual	BREMSS COLL	752.2360000	-1.2194000	0.0000000	0.0060000	0.0030000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000													
FEE	VIRTUAL	ST1L0	XTES	conceptual	STOPPER	755.2600000	-1.2194000	0.0000000	0.1000000	0.0350000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000													
FEE	APERTURE	PC4L0		conceptual	Collimator	755.7480000	-1.2194000	0.0000000	0.0060000	0.0047500		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.0469900												
FEE	APERTURE	BT5L0		conceptual	BTM	755.8000000	-1.2194000	0.0000000	0.0060000	0.0054200		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.1066700												
FEE	VIRTUAL	BS4L0		conceptual	BREMSS COLL	755.9601000	-1.2194000	0.0000000	0.0060000	0.0055000		0.0000000	0.0000000	0.0000000	TRUE	0.0000000													
H1.2	APERTURE	PC5L0		conceptual	Collimator - HE Type	777.8520000	-1.2194000	0.0000000	0.0060000	0.0200000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.0750000												
H1.2	APERTURE	BT6L0		conceptual	BTM	777.9230000	-1.2194000	0.0000000	0.0060000	0.0202500		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.1066600												
H1.3	VIRTUAL	XL1L2		conceptual	LODCM Crystal 1	780.2640000	-1.2200000	0.0000000	0.0300000	0.0500000		0.0000000	0.0000000	0.3491000	TRUE	0.0000000													
H1.3	VIRTUAL	SF1L2		conceptual	Photon Terminator 	799.6450000	-1.2194000	-0.8900000	0.1000000	0.0630000		0.0000000	0.0000000	0.0000000	TRUE	0.0000000													
XRT	APERTURE	PC6L0		conceptual	Collimator - HE Type	803.2230000	-1.2194000	0.0000000	0.0530000	0.0030000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000	0.0550000												
XRT	VIRTUAL	ST2L0		conceptual	Stopper	803.7920000	-1.2194000	0.0000000	0.0500000	0.0150000		0.0000000	0.0000000	0.0000000	TRUE	0.0010000													
